"effect","mean","sd","5 %","95 %"
"Bare Ground Cover ~ Deer Density",-0.035,0.028,-0.083,0.009
"Native Woody Understorey Cover ~ Deer Density",-0.046,0.027,-0.089,-0.003
"Native Non-woody Understorey Cover ~ Deer Density",0.064,0.029,0.017,0.111
"Presence of seedlings ~ Deer Density",0.053,0.074,-0.067,0.179
"Presence of saplings ~ Deer Density",-0.006,0.058,-0.102,0.092
"Presence of exotic flora ~ Deer Density",0.149,0.072,0.035,0.276
